stem,pearson,spearman
git-novice,0.3572009022903223,-0.26181637018505666
python-novice-gapminder,0.2018042714404762,0.2569347114594025
r-novice-gapminder,0.5725560498967347,0.5342337154921326
shell-novice,0.4187800312890513,0.34686352424929345
sql-novice-survey,0.29215103979374424,0.22489133774084685
numpy,0.6003840196630861,0.41402378058460243
pandas,0.5810886250728222,0.47525388494038334
scikit-image,0.6206847314070103,0.582228755587962
scikit-learn,0.5853368006852724,0.39807610425450457
scipy,0.6565691563814771,0.48505597859976035
